"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0050 hourly","$0.0031 hourly","$0.0028 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0056 hourly","$0.0035 hourly","$0.0032 hourly","$0.0102 hourly","$0.0081 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0062 hourly","$0.0039 hourly","$0.0029 hourly","$0.0108 hourly","$0.0085 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs for a 1h 12m burst","EBS only","Low to Moderate","$0.0069 hourly","$0.0050 hourly","unavailable","$0.0092 hourly","$0.0073 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0100 hourly","$0.0063 hourly","$0.0034 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0112 hourly","$0.0070 hourly","$0.0036 hourly","$0.0204 hourly","$0.0162 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0124 hourly","$0.0078 hourly","$0.0037 hourly","$0.0216 hourly","$0.0170 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs for a 2h 24m burst","EBS only","Low to Moderate","$0.0138 hourly","$0.0100 hourly","$0.0041 hourly","$0.0184 hourly","$0.0146 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0200 hourly","$0.0126 hourly","$0.0060 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0223 hourly","$0.0141 hourly","$0.0067 hourly","$0.0407 hourly","$0.0325 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0248 hourly","$0.0156 hourly","$0.0083 hourly","$0.0432 hourly","$0.0340 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","$0.0250 hourly","$0.0170 hourly","$0.0026 hourly","$0.0350 hourly","$0.0250 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs for a 4h 48m burst","EBS only","Low to Moderate","$0.0276 hourly","$0.0201 hourly","$0.0083 hourly","$0.0368 hourly","$0.0293 hourly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0400 hourly","$0.0252 hourly","$0.0120 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0424 hourly","$0.0267 hourly","$0.0162 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0446 hourly","$0.0281 hourly","$0.0147 hourly","$0.0630 hourly","$0.0465 hourly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0448 hourly","$0.0282 hourly","$0.0170 hourly","unavailable","unavailable"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB HDD","Low","$0.0470 hourly","$0.0340 hourly","$0.0079 hourly","$0.0780 hourly","$0.0660 hourly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB NVMe SSD","Up to 10 Gigabit","$0.0480 hourly","$0.0305 hourly","$0.0162 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0496 hourly","$0.0312 hourly","$0.0168 hourly","$0.0680 hourly","$0.0496 hourly"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB NVMe SSD","Up to 10 Gigabit","$0.0530 hourly","$0.0336 hourly","$0.0170 hourly","unavailable","unavailable"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0540 hourly","$0.0341 hourly","$0.0162 hourly","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Low to Moderate","$0.0552 hourly","$0.0401 hourly","$0.0166 hourly","$0.0732 hourly","$0.0581 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0560 hourly","$0.0353 hourly","$0.0178 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB NVMe SSD","Up to 10 Gigabit","$0.0650 hourly","$0.0410 hourly","$0.0178 hourly","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB SSD","Moderate","$0.0770 hourly","$0.0580 hourly","$0.0077 hourly","$0.1400 hourly","$0.1170 hourly"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0800 hourly","$0.0504 hourly","$0.0261 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0848 hourly","$0.0534 hourly","$0.0324 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0893 hourly","$0.0562 hourly","$0.0268 hourly","$0.1169 hourly","$0.0838 hourly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0896 hourly","$0.0564 hourly","$0.0425 hourly","unavailable","unavailable"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0950 hourly","$0.0600 hourly","$0.0335 hourly","$0.1870 hourly","$0.1520 hourly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB HDD","Moderate","$0.0950 hourly","$0.0680 hourly","$0.0492 hourly","$0.1570 hourly","$0.1310 hourly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0954 hourly","$0.0630 hourly","$0.0323 hourly","$0.1874 hourly","$0.1550 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB NVMe SSD","Up to 10 Gigabit","$0.0960 hourly","$0.0609 hourly","$0.0323 hourly","unavailable","unavailable"
"T3 Large","t3.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0992 hourly","$0.0625 hourly","$0.0346 hourly","$0.1268 hourly","$0.0901 hourly"
"M6A Large","m6a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1008 hourly","$0.0665 hourly","$0.0346 hourly","$0.1928 hourly","$0.1585 hourly"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1010 hourly","$0.0640 hourly","$0.0371 hourly","$0.1930 hourly","$0.1560 hourly"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1060 hourly","$0.0670 hourly","$0.0355 hourly","$0.1980 hourly","$0.1590 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1060 hourly","$0.0700 hourly","$0.0324 hourly","$0.1980 hourly","$0.1620 hourly"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","118 GB NVMe SSD","Up to 10 Gigabit","$0.1060 hourly","$0.0672 hourly","$0.0388 hourly","unavailable","unavailable"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1080 hourly","$0.0683 hourly","$0.0323 hourly","unavailable","unavailable"
"T2 Large","t2.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Low to Moderate","$0.1104 hourly","$0.0803 hourly","$0.0351 hourly","$0.1384 hourly","$0.1083 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1120 hourly","$0.0739 hourly","$0.0342 hourly","$0.2040 hourly","$0.1659 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1120 hourly","$0.0710 hourly","$0.0352 hourly","$0.2040 hourly","$0.1630 hourly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1120 hourly","$0.0706 hourly","$0.0363 hourly","unavailable","unavailable"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","EBS only","Moderate","$0.1170 hourly","$0.0851 hourly","$0.0341 hourly","$0.2090 hourly","$0.1771 hourly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","50 GB NVMe SSD","Up to 10 Gigabit","$0.1200 hourly","$0.0760 hourly","$0.0321 hourly","$0.2120 hourly","$0.1680 hourly"
"C3 High-CPU Large","c3.large","3.75 GiB","2 vCPUs","32 GB (2 * 16 GB SSD)","Moderate","$0.1200 hourly","$0.0900 hourly","$0.0617 hourly","$0.1880 hourly","$0.1860 hourly"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","75 GB NVMe SSD","Up to 10 Gigabit","$0.1220 hourly","$0.0770 hourly","$0.0370 hourly","$0.2140 hourly","$0.1690 hourly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","EBS only","Moderate","$0.1240 hourly","$0.0850 hourly","$0.0355 hourly","$0.2160 hourly","$0.1770 hourly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1260 hourly","$0.0790 hourly","$0.0347 hourly","$0.2180 hourly","$0.1710 hourly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","118 GB NVMe SSD","Up to 10 Gigabit","$0.1300 hourly","$0.0819 hourly","$0.0361 hourly","unavailable","unavailable"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","75 GB NVMe SSD","Up to 10 Gigabit","$0.1330 hourly","$0.0840 hourly","$0.0356 hourly","$0.2250 hourly","$0.1760 hourly"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1350 hourly","$0.0850 hourly","$0.0320 hourly","$0.2270 hourly","$0.1770 hourly"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1400 hourly","$0.0926 hourly","$0.0355 hourly","$0.2320 hourly","$0.1846 hourly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1400 hourly","$0.0880 hourly","$0.0347 hourly","$0.2320 hourly","$0.1800 hourly"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","75 GB NVMe SSD","Up to 10 Gigabit","$0.1480 hourly","$0.0930 hourly","$0.0348 hourly","$0.2400 hourly","$0.1850 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","350 GB HDD","Moderate","$0.1480 hourly","$0.1110 hourly","$0.1480 hourly","$0.2280 hourly","$0.2030 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1482 hourly","$0.0934 hourly","$0.0419 hourly","$0.2402 hourly","$0.1854 hourly"
"M3 General Purpose Large","m3.large","7.5 GiB","2 vCPUs","32 GB SSD","Moderate","$0.1540 hourly","$0.1160 hourly","$0.0332 hourly","$0.2800 hourly","$0.2350 hourly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.1600 hourly","$0.1007 hourly","$0.0480 hourly","unavailable","unavailable"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","75 GB NVMe SSD","Up to 10 Gigabit","$0.1620 hourly","$0.1020 hourly","$0.0377 hourly","$0.2540 hourly","$0.1940 hourly"
"R5N Large","r5n.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1690 hourly","$0.1070 hourly","$0.0389 hourly","$0.2610 hourly","$0.1990 hourly"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1696 hourly","$0.1068 hourly","$0.0688 hourly","unavailable","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","475 GB NVMe SSD","Up to 10 Gigabit","$0.1720 hourly","$0.1180 hourly","$0.0516 hourly","$0.2640 hourly","$0.2100 hourly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.1786 hourly","$0.1125 hourly","$0.0536 hourly","$0.2522 hourly","$0.1861 hourly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1792 hourly","$0.1129 hourly","$0.0684 hourly","unavailable","unavailable"
"R3 High-Memory Large","r3.large","15.25 GiB","2 vCPUs","32 GB SSD","Moderate","$0.1850 hourly","$0.1360 hourly","$0.0331 hourly","$0.3200 hourly","$0.2510 hourly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","468 GB NVMe SSD","Up to 10 Gigabit","$0.1890 hourly","$0.1230 hourly","$0.0567 hourly","$0.2810 hourly","$0.2150 hourly"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1900 hourly","$0.1200 hourly","$0.0812 hourly","$0.3740 hourly","$0.3040 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","840 GB (2 * 420 GB HDD)","Moderate","$0.1900 hourly","$0.1360 hourly","$0.0190 hourly","$0.3140 hourly","$0.2650 hourly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1908 hourly","$0.1260 hourly","$0.0763 hourly","$0.3748 hourly","$0.3100 hourly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","237 GB NVMe SSD","Up to 10 Gigabit","$0.1920 hourly","$0.1218 hourly","$0.0646 hourly","unavailable","unavailable"
"M5ZN Large","m5zn.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1927 hourly","$0.1208 hourly","$0.0364 hourly","$0.2847 hourly","$0.2128 hourly"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.1984 hourly","$0.1250 hourly","$0.0595 hourly","$0.2720 hourly","$0.1986 hourly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2016 hourly","$0.1330 hourly","$0.0707 hourly","$0.3856 hourly","$0.3170 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2020 hourly","$0.1270 hourly","$0.0922 hourly","$0.3860 hourly","$0.3110 hourly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","75 GB NVMe SSD","Up to 10 Gigabit","$0.2110 hourly","$0.1330 hourly","$0.0633 hourly","$0.3030 hourly","$0.2250 hourly"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2120 hourly","$0.1340 hourly","$0.0809 hourly","$0.3960 hourly","$0.3180 hourly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2120 hourly","$0.1400 hourly","$0.0762 hourly","$0.3960 hourly","$0.3240 hourly"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","237 GB NVMe SSD","Up to 10 Gigabit","$0.2120 hourly","$0.1344 hourly","$0.0992 hourly","unavailable","unavailable"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2160 hourly","$0.1365 hourly","$0.0646 hourly","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs for a 5h 24m burst","EBS only","Moderate","$0.2208 hourly","$0.1605 hourly","$0.0662 hourly","$0.2618 hourly","$0.2015 hourly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2240 hourly","$0.1477 hourly","$0.0706 hourly","$0.4080 hourly","$0.3317 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2240 hourly","$0.1410 hourly","$0.0649 hourly","$0.4080 hourly","$0.3250 hourly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2240 hourly","$0.1411 hourly","$0.0711 hourly","unavailable","unavailable"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","EBS only","High","$0.2340 hourly","$0.1701 hourly","$0.0796 hourly","$0.4180 hourly","$0.3541 hourly"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","4 vCPUs","80 GB (2 * 40 GB SSD)","Moderate","$0.2390 hourly","$0.1800 hourly","$0.2390 hourly","$0.3760 hourly","$0.3710 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","100 GB NVMe SSD","Up to 10 Gigabit","$0.2400 hourly","$0.1510 hourly","$0.0654 hourly","$0.4240 hourly","$0.3350 hourly"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","150 GB NVMe SSD","Up to 10 Gigabit","$0.2440 hourly","$0.1540 hourly","$0.0919 hourly","$0.4280 hourly","$0.3380 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","EBS only","High","$0.2490 hourly","$0.1700 hourly","$0.0813 hourly","$0.4330 hourly","$0.3540 hourly"
"I3EN Large","i3en.large","16.0 GiB","2 vCPUs","1250 GB NVMe SSD","Up to 25 Gigabit","$0.2500 hourly","$0.1710 hourly","$0.0750 hourly","$0.3420 hourly","$0.2630 hourly"
"R5A Extra Large","r5a.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2520 hourly","$0.1590 hourly","$0.0766 hourly","$0.4360 hourly","$0.3430 hourly"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","237 GB NVMe SSD","Up to 10 Gigabit","$0.2600 hourly","$0.1638 hourly","$0.0744 hourly","unavailable","unavailable"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","150 GB NVMe SSD","Up to 10 Gigabit","$0.2660 hourly","$0.1680 hourly","$0.0804 hourly","$0.4500 hourly","$0.3520 hourly"
"C5N Extra Large","c5n.xlarge","10.5 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2700 hourly","$0.1700 hourly","$0.0786 hourly","$0.4540 hourly","$0.3540 hourly"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2740 hourly","$0.1730 hourly","$0.0822 hourly","unavailable","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","420 GB HDD","Moderate","$0.2750 hourly","$0.1340 hourly","$0.2265 hourly","$0.3750 hourly","$0.3130 hourly"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2800 hourly","$0.1760 hourly","$0.0717 hourly","$0.4640 hourly","$0.3600 hourly"
"R6I Extra Large","r6i.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2800 hourly","$0.1852 hourly","$0.0711 hourly","$0.4640 hourly","$0.3692 hourly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","150 GB NVMe SSD","Up to 10 Gigabit","$0.2960 hourly","$0.1860 hourly","$0.0810 hourly","$0.4800 hourly","$0.3700 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2964 hourly","$0.1869 hourly","$0.0794 hourly","$0.4804 hourly","$0.3709 hourly"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","4 vCPUs","80 GB (2 * 40 GB SSD)","High","$0.3080 hourly","$0.2320 hourly","$0.0875 hourly","$0.5600 hourly","$0.4670 hourly"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","8 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.3200 hourly","$0.2015 hourly","$0.0960 hourly","unavailable","unavailable"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","150 GB NVMe SSD","Up to 10 Gigabit","$0.3240 hourly","$0.2040 hourly","$0.0756 hourly","$0.5080 hourly","$0.3880 hourly"
"R5N Extra Large","r5n.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.3380 hourly","$0.2130 hourly","$0.0689 hourly","$0.5220 hourly","$0.3970 hourly"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3392 hourly","$0.2137 hourly","$0.1299 hourly","unavailable","unavailable"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","950 GB NVMe SSD","Up to 10 Gigabit","$0.3440 hourly","$0.2350 hourly","$0.1032 hourly","$0.5280 hourly","$0.4190 hourly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.3571 hourly","$0.2250 hourly","$0.1071 hourly","$0.5043 hourly","$0.3722 hourly"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3584 hourly","$0.2258 hourly","$0.1455 hourly","unavailable","unavailable"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","4 vCPUs","80 GB SSD","Moderate","$0.3710 hourly","$0.2720 hourly","$0.0898 hourly","$0.6330 hourly","$0.4560 hourly"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","937 GB NVMe SSD","Up to 10 Gigabit","$0.3780 hourly","$0.2470 hourly","$0.1134 hourly","$0.5620 hourly","$0.4310 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","4 vCPUs","1680 GB (4 * 420 GB HDD)","High","$0.3790 hourly","$0.2720 hourly","$0.0558 hourly","$0.6270 hourly","$0.5290 hourly"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3800 hourly","$0.2390 hourly","$0.1554 hourly","$0.7480 hourly","$0.6070 hourly"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3816 hourly","$0.2520 hourly","$0.1431 hourly","$0.7496 hourly","$0.6200 hourly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","474 GB NVMe SSD","Up to 10 Gigabit","$0.3840 hourly","$0.2436 hourly","$0.1324 hourly","unavailable","unavailable"
"M5ZN Extra Large","m5zn.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.3854 hourly","$0.2416 hourly","$0.0789 hourly","$0.5694 hourly","$0.4256 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.3968 hourly","$0.2500 hourly","$0.1213 hourly","$0.5440 hourly","$0.3972 hourly"
"M6A Double Extra Large","m6a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4032 hourly","$0.2659 hourly","$0.1399 hourly","$0.7712 hourly","$0.6339 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4040 hourly","$0.2550 hourly","$0.1584 hourly","$0.7720 hourly","$0.6230 hourly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","150 GB NVMe SSD","Up to 10 Gigabit","$0.4220 hourly","$0.2660 hourly","$0.1266 hourly","$0.6060 hourly","$0.4500 hourly"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4240 hourly","$0.2800 hourly","$0.1674 hourly","$0.7920 hourly","$0.6480 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4240 hourly","$0.2670 hourly","$0.1636 hourly","$0.7920 hourly","$0.6350 hourly"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","474 GB NVMe SSD","Up to 10 Gigabit","$0.4240 hourly","$0.2688 hourly","$0.1389 hourly","unavailable","unavailable"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.4320 hourly","$0.2730 hourly","$0.1332 hourly","unavailable","unavailable"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.4350 hourly","$0.2740 hourly","$0.1305 hourly","unavailable","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs for a 4h 4.8m burst","EBS only","Moderate","$0.4416 hourly","$0.3210 hourly","$0.1325 hourly","$0.5036 hourly","$0.3830 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4480 hourly","$0.2820 hourly","$0.1370 hourly","$0.8160 hourly","$0.6500 hourly"
"M6I Double Extra Large","m6i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4480 hourly","$0.2955 hourly","$0.1592 hourly","$0.8160 hourly","$0.6635 hourly"
"R6G Double Extra Large","r6g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4480 hourly","$0.2822 hourly","$0.1422 hourly","unavailable","unavailable"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","8 vCPUs","EBS only","High","$0.4680 hourly","$0.3402 hourly","$0.1508 hourly","$0.8360 hourly","$0.7082 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","160 GB (2 * 80 GB SSD)","High","$0.4780 hourly","$0.3600 hourly","$0.4430 hourly","$0.7520 hourly","$0.7410 hourly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","200 GB NVMe SSD","Up to 10 Gigabit","$0.4800 hourly","$0.3020 hourly","$0.1540 hourly","$0.8480 hourly","$0.6700 hourly"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","300 GB NVMe SSD","Up to 10 Gigabit","$0.4880 hourly","$0.3070 hourly","$0.1600 hourly","$0.8560 hourly","$0.6750 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","8 vCPUs","EBS only","High","$0.4980 hourly","$0.3400 hourly","$0.1331 hourly","$0.8660 hourly","$0.7080 hourly"
